レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,金額,購入商品
R0289,中央区,女性,50代,土,2024/10/01,16:46,昼,488,ジュース お茶
R0290,中央区,男性,30代,木,2024/12/20,12:23,昼,833,卵 パン おにぎり
R0291,中央区,女性,10代,水,2024/06/01,09:26,朝,494,サンドイッチ ジュース
R0292,中央区,男性,30代,火,2024/07/07,18:31,夜,1555,卵 パン おにぎり 栄養ドリンク
R0293,中央区,女性,10代,月,2024/06/10,18:10,夜,228,ジュース
R0294,中央区,男性,30代,月,2024/01/05,08:55,朝,359,お茶 フルーツ
R0295,中央区,男性,20代,金,2024/07/07,07:00,朝,338,サラダ
R0296,中央区,女性,40代,火,2024/01/13,18:37,夜,1257,ヨーグルト 栄養ドリンク 野菜ジュース
R0297,中央区,女性,60代以上,日,2024/03/29,10:24,朝,589,缶コーヒー 冷凍食品 弁当
R0298,中央区,男性,60代以上,日,2024/01/29,15:09,昼,700,栄養ドリンク 野菜ジュース 歯ブラシ
R0299,中央区,女性,40代,土,2024/07/30,20:49,夜,1635,サラダ 栄養ドリンク ヨーグルト フルーツ アイス
R0300,中央区,女性,10代,火,2024/09/22,09:37,朝,454,サンドイッチ コーヒー
R0301,中央区,男性,50代,火,2024/10/01,10:51,朝,1074,卵 パン 牛乳
R0302,中央区,男性,50代,水,2024/11/26,19:22,夜,511,ヨーグルト 栄養ドリンク 野菜ジュース
R0303,中央区,男性,20代,月,2024/05/25,17:10,夜,432,コーヒー
R0304,中央区,男性,30代,水,2024/01/02,10:12,朝,713,おにぎり 缶コーヒー
R0305,中央区,女性,20代,土,2024/01/16,22:30,夜,699,カップ麺 弁当
R0306,中央区,男性,10代,月,2024/07/02,19:35,夜,509,フルーツ ヨーグルト
R0307,中央区,女性,50代,月,2024/09/17,19:20,夜,202,お茶
R0308,中央区,男性,50代,月,2024/07/12,18:35,夜,1106,ヨーグルト フルーツ 野菜ジュース サラダ
R0309,中央区,女性,40代,日,2024/03/23,20:03,夜,477,卵 牛乳
R0310,中央区,女性,20代,月,2024/06/30,19:15,夜,531,卵 牛乳
R0311,中央区,男性,30代,月,2024/09/02,14:18,昼,345,牛乳
R0312,中央区,女性,30代,日,2024/10/23,08:17,朝,1587,サラダ 栄養ドリンク フルーツ お茶
R0313,中央区,男性,50代,火,2024/03/19,10:28,朝,402,フルーツ
R0314,中央区,女性,60代以上,月,2024/01/12,22:49,夜,473,おにぎり 牛乳
R0315,中央区,男性,10代,金,2024/12/11,19:24,夜,243,サンドイッチ
R0316,中央区,女性,50代,日,2024/11/18,13:11,昼,235,パン
R0317,中央区,男性,50代,月,2024/10/12,15:29,昼,745,栄養ドリンク フルーツ ヨーグルト サラダ
R0318,中央区,女性,50代,月,2024/08/29,07:31,朝,731,ジュース サンドイッチ
R0319,中央区,男性,10代,月,2024/02/16,17:51,夜,1925,おにぎり パン 牛乳 卵 コーヒー
R0320,中央区,男性,30代,金,2024/11/20,07:17,朝,958,フルーツ 野菜ジュース ヨーグルト
R0321,中央区,女性,10代,土,2024/05/05,22:07,夜,247,フルーツ
R0322,中央区,女性,10代,火,2024/08/16,14:42,昼,567,栄養ドリンク 弁当
R0323,中央区,男性,30代,土,2024/08/01,07:43,朝,1413,パン おにぎり 牛乳 卵 洗剤
R0324,中央区,男性,40代,金,2024/09/21,20:19,夜,374,ジュース 肉まん
R0325,中央区,女性,60代以上,金,2024/10/07,07:35,朝,280,フルーツ
R0326,中央区,女性,20代,金,2024/10/27,12:51,昼,1429,お茶 サンドイッチ コーヒー ジュース
R0327,中央区,男性,40代,月,2024/03/12,14:12,昼,1214,牛乳 パン 卵 おにぎり
R0328,中央区,男性,60代以上,日,2024/10/16,11:46,昼,1127,フルーツ サラダ 栄養ドリンク 野菜ジュース
R0329,中央区,女性,60代以上,土,2024/10/26,16:40,昼,719,缶コーヒー カップ麺 冷凍食品
R0330,中央区,女性,40代,木,2024/12/11,14:58,昼,1036,ポテトチップス アイス チョコレート
R0331,北区,女性,60代以上,水,2024/04/01,18:59,夜,788,歯ブラシ トイレットペーパー
R0332,北区,男性,50代,金,2024/01/10,16:31,昼,118,トイレットペーパー
R0333,北区,女性,50代,火,2024/08/05,16:28,昼,1465,お茶 ジュース コーヒー サンドイッチ
R0334,北区,女性,20代,火,2024/02/10,18:15,夜,767,パン 牛乳 卵
R0335,北区,女性,20代,月,2024/11/11,21:25,夜,1188,ジュース サンドイッチ コーヒー お茶
R0336,北区,女性,30代,火,2024/05/17,16:54,昼,316,トイレットペーパー
R0337,北区,女性,40代,木,2024/11/25,22:47,夜,1613,歯ブラシ ティッシュ 洗剤 お茶
R0338,北区,女性,30代,月,2024/12/03,08:08,朝,1508,シャンプー ティッシュ 洗剤 歯ブラシ
R0339,北区,女性,40代,金,2024/01/07,21:52,夜,367,洗剤
R0340,北区,女性,20代,水,2024/05/30,13:49,昼,415,シャンプー 歯ブラシ
R0341,北区,男性,10代,水,2024/12/02,16:42,昼,1465,ティッシュ 歯ブラシ シャンプー サンドイッチ
R0342,北区,女性,20代,火,2024/04/08,22:19,夜,462,シャンプー
R0343,北区,男性,60代以上,金,2024/09/03,12:50,昼,374,洗剤 トイレットペーパー
R0344,北区,男性,30代,水,2024/06/26,14:04,昼,758,おにぎり パン
R0345,北区,女性,20代,日,2024/09/03,16:05,昼,1103,シャンプー トイレットペーパー ティッシュ
R0346,北区,男性,60代以上,水,2024/06/11,07:49,朝,177,シャンプー
R0347,北区,男性,20代,火,2024/01/02,11:30,昼,825,ティッシュ フルーツ
R0348,北区,男性,50代,日,2024/06/27,11:47,昼,348,シャンプー
R0349,北区,女性,40代,土,2024/05/04,08:29,朝,1097,洗剤 シャンプー 歯ブラシ ティッシュ
R0350,北区,女性,50代,日,2024/02/08,08:49,朝,439,洗剤
R0351,北区,男性,60代以上,日,2024/11/15,10:12,朝,1099,おにぎり 卵 パン
R0352,北区,女性,10代,木,2024/07/26,17:27,夜,1666,コーヒー ジュース サンドイッチ 弁当
R0353,北区,女性,50代,土,2024/05/14,22:32,夜,979,トイレットペーパー 歯ブラシ 洗剤
R0354,北区,女性,50代,土,2024/04/26,14:09,昼,368,洗剤 弁当
R0355,北区,男性,20代,土,2024/04/22,19:52,夜,1437,お茶 コーヒー サンドイッチ ジュース
R0356,北区,男性,40代,木,2024/08/25,21:22,夜,199,洗剤
R0357,北区,女性,60代以上,日,2024/12/22,17:49,夜,645,アイス ポテトチップス
R0358,北区,女性,60代以上,木,2024/07/06,17:54,夜,292,牛乳
R0359,北区,女性,20代,火,2024/10/10,19:57,夜,1408,コーヒー ジュース お茶 ガム
R0360,北区,女性,60代以上,木,2024/08/30,15:54,昼,879,牛乳 パン おにぎり
R0361,北区,女性,20代,土,2024/04/21,13:38,昼,1937,サンドイッチ ジュース コーヒー お茶 キャンディ
R0362,北区,女性,10代,水,2024/03/18,22:13,夜,284,コーヒー
R0363,北区,男性,40代,月,2024/03/01,14:09,昼,198,サンドイッチ
R0364,北区,女性,40代,土,2024/09/04,13:18,昼,983,歯ブラシ 洗剤 シャンプー ティッシュ
R0365,北区,男性,40代,土,2024/10/07,22:12,夜,1594,弁当 カップ麺 肉まん 冷凍食品 フルーツ
R0366,北区,男性,30代,火,2024/03/22,14:12,昼,1487,洗剤 歯ブラシ トイレットペーパー おにぎり
R0367,北区,男性,20代,木,2024/03/27,16:42,昼,718,コーヒー お茶
R0368,北区,女性,50代,日,2024/05/15,11:01,昼,321,歯ブラシ
R0369,北区,女性,50代,日,2024/01/28,13:47,昼,1168,おにぎり 卵 パン
R0370,北区,女性,60代以上,日,2024/09/16,11:57,昼,870,ジュース コーヒー サンドイッチ
R0371,北区,男性,60代以上,木,2024/11/28,15:29,昼,600,洗剤 ティッシュ シャンプー
R0372,北区,女性,30代,火,2024/11/26,21:14,夜,836,肉まん 弁当
R0373,北区,女性,40代,金,2024/07/15,12:31,昼,226,牛乳
R0374,北区,男性,30代,土,2024/10/04,12:33,昼,907,シャンプー トイレットペーパー ポテトチップス
R0375,北区,男性,10代,土,2024/07/24,08:39,朝,816,おにぎり 牛乳 洗剤
R0376,北区,男性,30代,火,2024/07/27,20:33,夜,683,トイレットペーパー 野菜ジュース
R0377,北区,男性,30代,木,2024/11/21,12:40,昼,1151,卵 パン おにぎり
R0378,北区,男性,60代以上,木,2024/01/31,14:39,昼,646,シャンプー トイレットペーパー 洗剤
R0379,北区,男性,30代,月,2024/07/10,14:43,昼,1023,卵 おにぎり パン
R0380,北区,女性,20代,木,2024/07/06,11:50,昼,303,シャンプー
R0381,北区,男性,30代,金,2024/10/16,16:36,昼,625,ジュース コーヒー お茶
R0382,北区,女性,60代以上,月,2024/09/15,11:24,昼,169,ティッシュ
R0383,北区,女性,40代,木,2024/05/14,13:46,昼,787,牛乳 パン 卵
R0384,北区,男性,20代,月,2024/04/03,18:52,夜,753,シャンプー トイレットペーパー 歯ブラシ ティッシュ カップ麺
R0385,北区,男性,40代,金,2024/02/06,20:55,夜,597,トイレットペーパー シャンプー
R0386,北区,女性,40代,日,2024/04/01,15:57,昼,1330,缶コーヒー カップ麺 弁当 冷凍食品
R0387,北区,女性,40代,火,2024/01/05,08:29,朝,748,冷凍食品 カップ麺
R0388,北区,女性,40代,月,2024/06/01,09:52,朝,516,シャンプー トイレットペーパー 歯ブラシ
R0389,北区,女性,10代,水,2024/05/12,07:01,朝,626,トイレットペーパー シャンプー 歯ブラシ
R0390,北区,男性,10代,月,2024/12/04,13:08,昼,628,歯ブラシ ティッシュ 野菜ジュース
R0391,北区,男性,20代,日,2024/08/02,11:03,昼,650,ジュース サンドイッチ 缶コーヒー
R0392,北区,男性,60代以上,木,2024/05/09,21:11,夜,341,シャンプー
R0393,北区,男性,50代,火,2024/07/23,19:11,夜,900,おにぎり 牛乳 卵
R0394,北区,女性,30代,月,2024/09/01,22:10,夜,831,洗剤 トイレットペーパー 歯ブラシ 野菜ジュース
R0395,北区,男性,60代以上,金,2024/01/03,14:31,昼,1410,お茶 コーヒー ジュース サンドイッチ パン
R0396,北区,男性,60代以上,土,2024/04/29,07:44,朝,999,お茶 コーヒー ジュース
R0397,北区,男性,50代,月,2024/06/30,17:17,夜,1590,牛乳 パン おにぎり 卵
R0398,北区,女性,10代,日,2024/05/23,19:23,夜,427,コーヒー ジュース
R0399,北区,男性,10代,土,2024/09/22,14:23,昼,356,洗剤
R0400,北区,男性,60代以上,水,2024/07/29,19:14,夜,1253,シャンプー 洗剤 歯ブラシ ティッシュ
R0401,北区,男性,50代,木,2024/02/15,14:08,昼,300,野菜ジュース フルーツ
R0402,北区,男性,10代,水,2024/08/08,11:59,昼,879,サンドイッチ コーヒー お茶 ジュース
R0403,北区,男性,30代,日,2024/12/26,10:02,朝,1069,牛乳 卵 パン
R0404,北区,女性,30代,水,2024/11/06,08:02,朝,301,お茶
R0405,北区,女性,50代,水,2024/11/23,19:07,夜,411,ヨーグルト
R0406,北区,男性,20代,土,2024/08/23,19:53,夜,440,洗剤 チョコレート
R0407,北区,女性,40代,金,2024/12/10,20:14,夜,564,卵 おにぎり パン
R0408,北区,女性,10代,水,2024/04/24,11:39,昼,402,パン 卵
R0409,北区,男性,20代,土,2024/09/11,12:55,昼,1536,卵 おにぎり 牛乳 フルーツ
R0410,北区,女性,20代,水,2024/09/21,11:03,昼,1365,コーヒー お茶 ジュース サンドイッチ
R0411,北区,女性,50代,火,2024/06/11,21:09,夜,1441,歯ブラシ ティッシュ シャンプー トイレットペーパー
R0412,北区,男性,30代,金,2024/02/11,09:32,朝,744,トイレットペーパー 歯ブラシ 肉まん
R0413,北区,男性,10代,日,2024/01/09,16:47,昼,2022,おにぎり パン 卵 牛乳 ヨーグルト
R0414,北区,男性,30代,木,2024/10/05,15:06,昼,445,牛乳
R0415,北区,女性,40代,金,2024/06/18,12:24,昼,1650,コーヒー ジュース サンドイッチ アイス
R0416,北区,男性,30代,水,2024/09/23,14:13,昼,847,コーヒー ジュース アイス
R0417,北区,男性,40代,土,2024/07/18,16:35,昼,1451,歯ブラシ 洗剤 シャンプー ティッシュ
R0418,北区,男性,40代,月,2024/12/20,12:55,昼,1189,卵 牛乳 おにぎり パン 弁当
R0419,北区,男性,40代,日,2024/03/14,22:20,夜,444,サンドイッチ
R0420,北区,女性,60代以上,土,2024/05/20,11:54,昼,348,洗剤
R0421,北区,男性,30代,火,2024/07/24,20:22,夜,495,栄養ドリンク サラダ
R0422,北区,男性,40代,木,2024/05/23,11:10,昼,483,トイレットペーパー
R0423,北区,男性,10代,木,2024/03/09,14:45,昼,631,トイレットペーパー ティッシュ
R0424,北区,男性,60代以上,木,2024/08/07,19:40,夜,1215,ティッシュ 洗剤 トイレットペーパー 歯ブラシ サンドイッチ
R0425,北区,女性,20代,木,2024/11/30,10:08,朝,618,コーヒー サンドイッチ お茶 パン
R0426,北区,男性,40代,土,2024/11/09,17:02,夜,1023,ジュース サンドイッチ コーヒー
R0427,北区,男性,10代,木,2024/04/19,07:39,朝,1898,ティッシュ シャンプー 洗剤 トイレットペーパー 栄養ドリンク
R0428,北区,女性,40代,金,2024/11/07,20:31,夜,1476,シャンプー トイレットペーパー 歯ブラシ ティッシュ
R0429,北区,男性,50代,月,2024/09/07,16:41,昼,573,トイレットペーパー シャンプー ティッシュ
R0430,北区,女性,10代,月,2024/02/27,13:28,昼,1193,卵 牛乳 おにぎり チョコレート
R0431,北区,女性,30代,火,2024/06/07,19:02,夜,878,コーヒー ジュース お茶 サンドイッチ
R0432,北区,男性,60代以上,水,2024/09/25,11:20,昼,484,卵 パン 牛乳
R0433,北区,女性,50代,金,2024/01/28,13:39,昼,1374,ヨーグルト 野菜ジュース 栄養ドリンク フルーツ
R0434,北区,女性,50代,火,2024/01/18,12:08,昼,1288,牛乳 パン おにぎり 卵
R0435,北区,女性,10代,火,2024/12/20,16:23,昼,1147,歯ブラシ 洗剤 シャンプー ジュース
R0436,北区,女性,20代,火,2024/02/09,09:59,朝,773,コーヒー お茶
R0437,北区,女性,10代,木,2024/02/14,13:33,昼,398,おにぎり 卵
R0438,北区,女性,60代以上,土,2024/04/20,21:24,夜,231,歯ブラシ
R0439,北区,女性,30代,日,2024/11/11,21:14,夜,981,お茶 サンドイッチ コーヒー
R0440,北区,男性,20代,金,2024/09/19,20:55,夜,729,ティッシュ トイレットペーパー 歯ブラシ
R0441,北区,男性,60代以上,水,2024/12/23,12:59,昼,689,洗剤 歯ブラシ ティッシュ シャンプー
R0442,北区,男性,50代,日,2024/06/13,09:09,朝,221,洗剤
R0443,北区,男性,50代,火,2024/04/10,19:10,夜,410,コーヒー サンドイッチ
R0444,北区,男性,10代,水,2024/11/01,17:28,夜,303,ジュース お茶
R0445,北区,女性,50代,金,2024/06/28,14:04,昼,448,ティッシュ 歯ブラシ トイレットペーパー
R0446,北区,女性,30代,月,2024/11/23,20:10,夜,825,卵 おにぎり パン 牛乳 冷凍食品
R0447,北区,女性,50代,木,2024/09/09,18:29,夜,847,栄養ドリンク フルーツ 卵
R0448,北区,男性,20代,日,2024/04/25,15:42,昼,696,アイス チョコレート 肉まん
R0449,北区,男性,20代,火,2024/12/30,12:36,昼,1082,洗剤 歯ブラシ トイレットペーパー ティッシュ
R0450,北区,女性,50代,土,2024/09/21,22:03,夜,349,トイレットペーパー
R0451,北区,男性,20代,月,2024/08/19,12:58,昼,302,お茶
R0452,北区,男性,20代,木,2024/11/13,18:19,夜,1503,歯ブラシ シャンプー ティッシュ トイレットペーパー
R0453,北区,男性,50代,火,2024/05/04,21:14,夜,640,お茶 ティッシュ
R0454,北区,男性,60代以上,金,2024/10/15,19:18,夜,700,洗剤 シャンプー おにぎり
R0455,北区,男性,40代,金,2024/11/11,11:05,昼,846,ジュース 卵
R0456,北区,女性,50代,金,2024/12/24,17:09,夜,802,トイレットペーパー パン
R0457,北区,女性,30代,水,2024/09/12,13:13,昼,1898,おにぎり 牛乳 卵 パン ポテトチップス
R0458,北区,女性,50代,火,2024/09/21,15:49,昼,763,パン 卵 牛乳 おにぎり
R0459,北区,男性,60代以上,月,2024/07/28,15:45,昼,1387,コーヒー サンドイッチ お茶 野菜ジュース
R0460,北区,女性,40代,土,2024/03/19,16:56,昼,507,洗剤 チョコレート
R0461,北区,女性,40代,月,2024/08/30,16:12,昼,958,お茶 サンドイッチ 洗剤
R0462,北区,女性,20代,木,2024/01/05,08:52,朝,387,フルーツ サラダ
R0463,北区,男性,50代,金,2024/12/02,10:45,朝,1477,卵 おにぎり パン 牛乳 カップ麺
R0464,北区,男性,40代,月,2024/02/18,16:15,昼,468,トイレットペーパー
R0465,北区,女性,10代,水,2024/01/18,21:56,夜,192,お茶
R0466,北区,女性,20代,金,2024/12/12,16:38,昼,757,ジュース コーヒー
R0467,北区,男性,20代,月,2024/03/14,19:09,夜,1047,フルーツ 野菜ジュース サラダ カップ麺
R0468,北区,男性,60代以上,木,2024/08/15,10:35,朝,432,おにぎり 卵
R0469,北区,女性,30代,火,2024/11/14,17:47,夜,183,牛乳
R0470,北区,男性,60代以上,水,2024/04/22,16:41,昼,1572,トイレットペーパー シャンプー 歯ブラシ 洗剤
R0471,北区,女性,50代,日,2024/09/30,21:46,夜,830,おにぎり パン 牛乳 卵
R0472,北区,男性,30代,土,2024/04/29,22:52,夜,1331,洗剤 歯ブラシ トイレットペーパー シャンプー
R0473,北区,男性,30代,金,2024/04/02,07:30,朝,1041,チョコレート 炭酸飲料 アイス
R0474,北区,女性,40代,土,2024/03/04,21:36,夜,972,卵 パン 牛乳
R0475,北区,女性,40代,火,2024/04/22,07:22,朝,1171,洗剤 トイレットペーパー ティッシュ
R0476,北区,女性,60代以上,土,2024/11/27,13:21,昼,1118,サンドイッチ ジュース トイレットペーパー
R0477,北区,女性,60代以上,月,2024/04/29,22:15,夜,295,歯ブラシ
R0478,北区,男性,10代,月,2024/04/07,17:58,夜,241,おにぎり
R0479,北区,女性,50代,金,2024/11/29,12:53,昼,1423,卵 牛乳 パン おにぎり
R0480,北区,男性,60代以上,日,2024/07/20,09:28,朝,1538,卵 パン 牛乳 ジュース
R0481,北区,女性,30代,日,2024/02/01,16:26,昼,764,トイレットペーパー 洗剤 歯ブラシ シャンプー
R0482,北区,女性,20代,水,2024/01/08,14:34,昼,1178,ジュース サンドイッチ お茶 コーヒー アイス
R0483,北区,男性,40代,土,2024/11/30,18:31,夜,954,歯ブラシ 洗剤 トイレットペーパー コーヒー
R0484,北区,女性,20代,土,2024/01/25,16:12,昼,359,洗剤
R0485,北区,男性,30代,日,2024/04/04,08:28,朝,1051,牛乳 卵 おにぎり
R0486,北区,男性,50代,木,2024/11/09,13:28,昼,361,牛乳
R0487,北区,女性,40代,木,2024/10/06,20:25,夜,1674,卵 おにぎり 牛乳 パン フルーツ
R0488,北区,女性,60代以上,火,2024/03/30,21:55,夜,868,コーヒー お茶 カップ麺
R0489,北区,男性,60代以上,日,2024/07/05,14:23,昼,1240,ティッシュ トイレットペーパー 洗剤 シャンプー
R0490,北区,男性,30代,月,2024/03/21,08:04,朝,869,トイレットペーパー 洗剤 牛乳
R0491,北区,女性,20代,日,2024/04/30,16:38,昼,1022,おにぎり 卵 牛乳 冷凍食品
R0492,北区,男性,60代以上,土,2024/10/20,09:07,朝,1414,ジュース コーヒー サンドイッチ お茶
R0493,北区,男性,20代,火,2024/10/25,21:26,夜,690,お茶 サンドイッチ 洗剤
R0494,北区,男性,20代,金,2024/06/06,07:10,朝,1313,洗剤 トイレットペーパー 歯ブラシ ティッシュ
R0495,北区,女性,60代以上,水,2024/08/23,16:56,昼,362,ヨーグルト サラダ
R0496,北区,男性,20代,木,2024/11/12,09:46,朝,1413,お茶 ジュース サンドイッチ コーヒー
R0497,北区,男性,10代,金,2024/09/06,13:11,昼,261,卵
R0498,北区,女性,40代,日,2024/03/07,14:00,昼,461,野菜ジュース フルーツ
R0499,北区,男性,50代,木,2024/11/20,12:33,昼,871,おにぎり 卵 パン 牛乳
R0500,北区,男性,50代,土,2024/05/07,20:36,夜,1118,ティッシュ 歯ブラシ トイレットペーパー
R0501,北区,男性,50代,土,2024/12/28,07:57,朝,219,ヨーグルト
R0502,北区,男性,50代,金,2024/08/29,16:53,昼,1789,パン おにぎり 牛乳 卵 冷凍食品
R0503,北区,男性,30代,日,2024/06/03,12:24,昼,687,牛乳 パン おにぎり
R0504,北区,男性,60代以上,土,2024/01/14,09:50,朝,342,トイレットペーパー
R0505,北区,女性,20代,土,2024/04/22,20:16,夜,795,サンドイッチ ジュース
R0506,北区,男性,50代,日,2024/10/01,11:17,昼,1044,パン おにぎり 牛乳
R0507,北区,女性,50代,木,2024/07/14,20:09,夜,849,卵 冷凍食品
R0508,北区,男性,30代,日,2024/08/17,13:40,昼,202,おにぎり
R0509,北区,女性,10代,火,2024/01/18,15:21,昼,762,歯ブラシ 洗剤
R0510,北区,男性,50代,火,2024/09/06,21:34,夜,932,シャンプー トイレットペーパー 洗剤 歯ブラシ
R0511,北区,女性,60代以上,水,2024/11/21,16:57,昼,1273,パン おにぎり 牛乳 卵
R0512,北区,男性,60代以上,土,2024/03/14,18:11,夜,376,洗剤 トイレットペーパー
R0513,北区,男性,60代以上,木,2024/05/16,09:47,朝,837,サラダ ヨーグルト 野菜ジュース 栄養ドリンク
R0514,北区,女性,10代,火,2024/06/05,20:34,夜,1594,ティッシュ 歯ブラシ シャンプー 洗剤
R0515,北区,男性,40代,水,2024/08/02,10:03,朝,1923,歯ブラシ トイレットペーパー ティッシュ シャンプー 牛乳
R0516,北区,女性,30代,日,2024/11/13,17:29,夜,773,フルーツ サラダ 牛乳
R0517,北区,男性,50代,水,2024/04/24,21:40,夜,1057,ジュース コーヒー お茶
R0518,北区,女性,50代,月,2024/06/24,21:31,夜,585,ガム キャンディ
R0519,北区,女性,10代,月,2024/03/01,18:21,夜,717,パン 炭酸飲料
R0520,北区,女性,30代,水,2024/05/22,11:35,昼,447,ティッシュ ポテトチップス
R0521,北区,男性,40代,火,2024/02/29,14:20,昼,379,歯ブラシ
R0522,北区,女性,50代,金,2024/03/09,08:27,朝,1099,ティッシュ トイレットペーパー 歯ブラシ
R0523,北区,女性,10代,火,2024/11/13,08:24,朝,681,パン 牛乳
R0524,北区,男性,60代以上,土,2024/11/10,18:49,夜,747,おにぎり 卵 牛乳 パン
R0525,北区,男性,30代,火,2024/05/08,08:50,朝,351,トイレットペーパー 歯ブラシ
R0526,北区,男性,20代,水,2024/02/16,20:52,夜,1012,ティッシュ 歯ブラシ トイレットペーパー
R0527,北区,女性,10代,土,2024/10/24,16:19,昼,572,ジュース サンドイッチ
R0528,北区,女性,10代,木,2024/06/14,19:28,夜,455,トイレットペーパー 洗剤
R0529,北区,男性,30代,火,2024/11/12,15:50,昼,864,シャンプー トイレットペーパー キャンディ
R0530,北区,女性,40代,土,2024/06/05,12:28,昼,1068,サンドイッチ コーヒー お茶
R0531,北区,男性,30代,金,2024/08/16,17:51,夜,550,ティッシュ 歯ブラシ
R0532,北区,女性,10代,木,2024/04/29,19:31,夜,379,牛乳 卵
R0533,北区,男性,50代,火,2024/06/15,16:26,昼,418,洗剤 歯ブラシ
R0534,北区,女性,50代,月,2024/10/03,22:14,夜,541,弁当 缶コーヒー
R0535,北区,女性,30代,日,2024/01/16,22:11,夜,413,おにぎり パン
R0536,北区,女性,40代,土,2024/06/29,21:57,夜,1004,洗剤 歯ブラシ ティッシュ トイレットペーパー
R0537,北区,男性,50代,月,2024/03/21,14:27,昼,830,卵 パン 牛乳 おにぎり
R0538,北区,女性,50代,月,2024/05/04,12:38,昼,927,洗剤 トイレットペーパー ティッシュ 歯ブラシ
R0539,北区,女性,30代,金,2024/06/27,20:39,夜,675,お茶 コーヒー サンドイッチ ヨーグルト
R0540,北区,男性,60代以上,水,2024/05/19,16:17,昼,1036,洗剤 シャンプー トイレットペーパー
R0541,北区,男性,10代,木,2024/06/23,11:01,昼,641,卵 ヨーグルト
R0542,北区,男性,50代,土,2024/07/02,07:28,朝,304,サンドイッチ お茶
R0543,北区,女性,30代,日,2024/07/17,14:20,昼,349,卵
R0544,北区,男性,20代,月,2024/04/10,20:30,夜,719,シャンプー トイレットペーパー ティッシュ 洗剤
R0545,北区,女性,20代,月,2024/02/16,13:26,昼,1254,おにぎり パン 牛乳 アイス
R0546,北区,女性,60代以上,水,2024/05/31,09:34,朝,750,お茶 ジュース コーヒー 牛乳
R0547,北区,女性,60代以上,木,2024/06/02,15:17,昼,1080,トイレットペーパー シャンプー 歯ブラシ ティッシュ
R0548,北区,女性,30代,金,2024/12/08,12:14,昼,1604,ジュース コーヒー サンドイッチ お茶 肉まん
R0549,北区,男性,30代,木,2024/02/24,22:13,夜,1265,卵 牛乳 おにぎり パン
R0550,北区,男性,40代,土,2024/03/13,10:53,朝,302,洗剤 歯ブラシ
R0551,北区,女性,60代以上,金,2024/06/27,21:57,夜,243,ガム
R0552,北区,男性,50代,月,2024/10/12,20:03,夜,190,サンドイッチ
R0553,北区,男性,10代,日,2024/12/15,17:14,夜,699,歯ブラシ ティッシュ
R0554,北区,女性,30代,金,2024/07/25,15:55,昼,411,ティッシュ
R0555,北区,男性,20代,金,2024/01/17,11:31,昼,1013,サラダ 野菜ジュース フルーツ
R0556,北区,男性,20代,金,2024/10/09,15:43,昼,763,パン 野菜ジュース
R0557,北区,男性,50代,金,2024/04/25,17:35,夜,831,シャンプー 歯ブラシ ティッシュ
R0558,北区,男性,10代,木,2024/01/17,18:30,夜,325,ジュース
R0559,北区,女性,60代以上,月,2024/11/22,19:05,夜,371,ヨーグルト サラダ
R0560,北区,男性,40代,月,2024/01/25,22:07,夜,180,サンドイッチ
R0561,北区,女性,40代,木,2024/03/27,22:32,夜,891,お茶 サンドイッチ コーヒー
R0562,北区,女性,20代,水,2024/11/20,08:45,朝,285,洗剤 シャンプー
R0563,北区,女性,40代,月,2024/08/31,21:16,夜,880,シャンプー 洗剤 トイレットペーパー ティッシュ
R0564,北区,女性,60代以上,日,2024/07/06,09:44,朝,584,洗剤 カップ麺
R0565,北区,女性,50代,水,2024/07/14,17:20,夜,514,ティッシュ トイレットペーパー 洗剤
R0566,北区,男性,50代,火,2024/05/30,17:24,夜,1248,おにぎり 卵 牛乳 パン サラダ
R0567,北区,男性,10代,金,2024/07/20,09:03,朝,1314,ポテトチップス ガム アイス トイレットペーパー
R0568,北区,女性,10代,火,2024/10/21,20:41,夜,193,おにぎり
R0569,北区,男性,20代,日,2024/12/19,10:02,朝,546,お茶 コーヒー
R0570,北区,女性,60代以上,水,2024/05/05,08:04,朝,710,パン おにぎり
R0571,北区,女性,10代,日,2024/06/17,17:04,夜,786,ヨーグルト フルーツ 栄養ドリンク
R0572,北区,女性,10代,日,2024/09/03,21:29,夜,1130,パン 卵 牛乳 おにぎり 歯ブラシ
R0573,北区,男性,20代,日,2024/10/12,16:27,昼,469,ヨーグルト サラダ
R0574,北区,女性,60代以上,月,2024/05/09,15:56,昼,704,シャンプー ティッシュ
R0575,北区,男性,50代,土,2024/01/29,17:07,夜,828,洗剤 トイレットペーパー シャンプー
R0576,北区,男性,50代,金,2024/12/02,17:22,夜,641,洗剤 歯ブラシ コーヒー
R0577,北区,男性,50代,金,2024/05/08,12:43,昼,738,パン 牛乳 トイレットペーパー
R0578,北区,男性,40代,水,2024/02/26,13:08,昼,1379,シャンプー 洗剤 歯ブラシ トイレットペーパー
R0579,北区,男性,40代,火,2024/02/09,09:53,朝,657,洗剤 肉まん
R0580,北区,女性,50代,火,2024/08/04,21:28,夜,664,コーヒー サンドイッチ ジュース お茶
R0581,北区,女性,50代,水,2024/11/05,19:24,夜,921,歯ブラシ シャンプー 炭酸飲料
R0582,北区,女性,20代,水,2024/10/02,07:33,朝,881,おにぎり 牛乳 卵 パン
